0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-0.0990387,-0.10603824,0.16972266,-0.17697898,-0.25268263,-0.5363689,-0.4995044,-0.32036698,0.29718533,-0.16495353,-0.18487155,-0.65963554,-1.8830748,0.44003683,0.2073728,-0.024269186
-0.87043804,1.4219092,-0.16734284,-0.5429064,-0.40919662,-0.21790239,-0.42856252,0.61886644,-0.5758563,0.17738912,-0.004558593,-0.3666032,0.15167877,-0.59684736,-0.33359158,0.26949358
-1.0351402,-0.49311525,0.18615389,0.39151785,-0.1090408,0.06947574,0.045900658,-0.42200738,0.598408,-0.25123602,-0.81773317,0.7358591,-0.89554375,0.7115755,-0.34544757,0.008118331
-0.6677089,1.0289242,-0.11882093,-0.49242783,-0.45054483,-0.53821087,-0.7452605,0.71871763,0.14291435,0.5139151,-0.16214788,-0.74346286,0.26293975,-0.6867945,0.15015435,-0.049324915
-0.45133024,1.3992275,-0.22670093,-0.36424455,0.004449237,-0.5108163,-0.55007154,0.73818666,0.04627721,0.17517193,-0.39162043,-0.48650151,0.24979262,-1.0107101,-0.14155555,0.44356996
-0.31317973,1.5039954,-0.09389323,-0.27904958,0.19928329,-0.58055454,-0.96814096,0.90300363,0.5211677,-0.3047706,-0.40223756,-0.8050235,0.07694435,-0.77231896,-0.007584259,-0.06991491
-0.03362167,1.1807151,0.54834497,-0.38102117,-1.0421448,-0.34328428,-0.46369666,0.22927943,0.22561273,0.3478393,-0.5948123,-0.7213987,0.4487139,-0.69493145,-0.23796324,1.1354412
-0.19986568,-0.832594,0.19704458,-0.23650508,-0.5612323,-0.27913725,-0.254398,1.4798281,-0.5133163,-0.9549204,0.33655876,-0.59087694,-0.2135927,0.0801618,-0.11736889,-0.3585233
0.70915395,-0.13166979,0.7425561,-0.5284455,-0.4560129,0.07384652,-0.1369921,0.13666892,0.08364395,0.84348756,0.12127364,0.21576612,0.37496394,0.26025677,-0.7985397,1.542292
1.0390142,-0.7505536,0.34813732,-0.3421356,0.3666943,-0.50302637,-0.2748761,0.16298558,-0.11063184,0.9064858,0.3654928,1.2436093,0.42859244,-0.111172065,-0.24780473,1.0813719
0.2799343,-0.7439008,0.2081917,0.03730935,0.7953012,-0.6461944,-0.30676073,0.30041277,0.17231561,0.9073813,0.6520856,1.1560383,0.061804503,0.1580435,-0.43363047,0.67333686
-0.09788917,-0.21007773,-0.14458227,0.12243071,0.28063816,-0.21642575,-0.5392506,-0.04976174,0.29559895,0.024951681,0.25298208,-0.14028408,-2.0104425,-0.13655685,-0.20589305,0.042763386
0.032400973,0.06628713,0.62874544,0.046405964,0.056375768,-0.15329868,0.040225208,0.2818837,0.1928839,0.51792425,-0.063862294,-0.3017658,-1.8944848,-0.40822503,-0.29434824,-0.25675735
-0.2893646,-0.23073328,0.54724026,-0.04143322,-0.057748847,-0.15211314,-0.078167364,0.3595695,0.1715077,-0.32537323,-0.042351946,-0.40195414,-1.8392019,-0.07133135,-0.27903843,-0.03245133
0.39395294,0.35482556,0.3896914,-0.394283,-0.29842722,-0.74812675,1.5907427,-0.12927791,-0.0027107894,0.12770322,0.16345799,0.57130873,-0.026430681,0.18148738,-0.41602364,-0.9874836
0.49976453,0.34028423,0.36008424,-0.39790744,-0.3450585,-0.07590589,1.1275518,0.13930134,0.26224953,0.40494817,0.33807784,0.32250327,0.42808878,0.20385727,-0.05495935,-0.8713111
0.35598147,0.8711084,0.2641016,-0.3929483,-0.19077107,-0.03772509,1.3505608,0.32898387,0.64874583,0.47154635,0.31549928,0.6689552,0.19318743,0.42549005,0.40273112,-1.0735173
0.620159,0.6833763,0.76370543,-0.6483738,0.16464902,0.56939346,1.4244188,0.14142823,0.6403321,0.39489436,0.3942879,0.3866465,0.19712584,0.3538027,-0.088442,-0.92059547
0.38724327,0.59065145,0.34981665,-0.27142534,0.29152298,1.5562626,0.5316823,0.4412788,0.007679984,0.51841927,0.1934437,0.2918063,0.32643062,-0.0894986,-0.57712245,-0.9910369
